ID, Name(EN), Name(TR)
311737, ANKARA YILDIRIM BEYAZIT UNIVERSITY, ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ
447662, ANTALYA BELEK UNIVERSITY, ANTALYA BELEK ÜNİVERSİTESİ
327022, ANTALYA SCIENCE UNIVERSITY, ANTALYA BİLİM ÜNİVERSİTESİ
103400, ARDAHAN UNIVERSITY, ARDAHAN ÜNİVERSİTESİ
103443, ARTVİN ÇORUH UNIVERSITY, ARTVİN ÇORUH ÜNİVERSİTESİ
255896, ATAŞEHİR ADIGÜZEL VOCATIONAL SCHOOL, ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU
103545, ATATURK UNIVERSITY, ATATÜRK ÜNİVERSİTESİ
104090, ATILIM UNIVERSITY, ATILIM ÜNİVERSİTESİ
205351, EURASIA UNIVERSITY, AVRASYA ÜNİVERSİTESİ
364158, AYDIN ​​ADNAN MENDERES UNIVERSITY, AYDIN ADNAN MENDERES ÜNİVERSİTESİ
104140, BAHÇEŞEHİR UNIVERSITY, BAHÇEŞEHİR ÜNİVERSİTESİ
104213, BALIKESİR UNIVERSITY, BALIKESİR ÜNİVERSİTESİ
274881, BANDIRMA ONYEDI EYLÜL UNIVERSITY, BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ
104578, BARTIN UNIVERSITY, BARTIN ÜNİVERSİTESİ
104628, BAŞKENT UNIVERSITY, BAŞKENT ÜNİVERSİTESİ
104803, BATMAN UNIVERSITY, BATMAN ÜNİVERSİTESİ
104922, BAYBURT UNIVERSITY, BAYBURT ÜNİVERSİTESİ
306383, BEYKOZ UNIVERSITY, BEYKOZ ÜNİVERSİTESİ
163894, BEZM-İ ÂLEM FOUNDATION UNIVERSITY, BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ
105024, BİLECİK SEYH EDEBALI UNIVERSITY, BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ
105196, BINGOL UNIVERSITY, BİNGÖL ÜNİVERSİTESİ
251241, BİRUNI UNIVERSITY, BİRUNİ ÜNİVERSİTESİ
105248, BITLIS EREN UNIVERSITY, BİTLİS EREN ÜNİVERSİTESİ
105322, BOGAZICI UNIVERSITY, BOĞAZİÇİ ÜNİVERSİTESİ
341799, BOLU ABANT İZZET BAYSAL UNIVERSITY, BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ
355074, BURDUR MEHMET AKİF ERSOY UNIVERSITY, BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ
173494, BURSA TECHNICAL UNIVERSITY, BURSA TEKNİK ÜNİVERSİTESİ
362386, BURSA ULUDAĞ UNIVERSITY, BURSA ULUDAĞ ÜNİVERSİTESİ
106499, CAG UNIVERSITY, ÇAĞ ÜNİVERSİTESİ
106545, ÇANAKKALE ONEKİZ MART UNIVERSITY, ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ
107012, ÇANKAYA UNIVERSITY, ÇANKAYA ÜNİVERSİTESİ
107056, ÇANKIRI KARATEKİN UNIVERSITY, ÇANKIRI KARATEKİN ÜNİVERSİTESİ
107211, CUKUROVA UNIVERSITY, ÇUKUROVA ÜNİVERSİTESİ
384591, DEMİROĞLU SCIENCE UNIVERSITY, DEMİROĞLU BİLİM ÜNİVERSİTESİ
107723, DICLE UNIVERSITY, DİCLE ÜNİVERSİTESİ
108112, DOĞUŞ UNIVERSITY, DOĞUŞ ÜNİVERSİTESİ
108163, DOKUZ EYLÜL UNIVERSITY, DOKUZ EYLÜL ÜNİVERSİTESİ
109110, DUZCE UNIVERSITY, DÜZCE ÜNİVERSİTESİ
109290, AEGEAN UNIVERSITY, EGE ÜNİVERSİTESİ
109868, ERCIYES UNIVERSITY, ERCİYES ÜNİVERSİTESİ
370189, ERZİNCAN BİNALİ YILDIRIM UNIVERSITY, ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ
173495, ERZURUM TECHNICAL UNIVERSITY, ERZURUM TEKNİK ÜNİVERSİTESİ
110538, ESKİŞEHİR OSMANGAZİ UNIVERSITY, ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ
339997, ESKİŞEHİR TECHNICAL UNIVERSITY, ESKİŞEHİR TEKNİK ÜNİVERSİTESİ
163897, FATİH SULTAN MEHMET FOUNDATION UNIVERSITY, FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ
310017, FENERBAHÇE UNIVERSITY, FENERBAHÇE ÜNİVERSİTESİ
110987, FIRAT UNIVERSITY, FIRAT ÜNİVERSİTESİ
111395, GALATASARAY UNIVERSITY, GALATASARAY ÜNİVERSİTESİ
133520, GAZI UNIVERSITY, GAZİ ÜNİVERSİTESİ
384577, GAZİANTEP ISLAMIC SCIENCE AND TECHNOLOGY UNIVERSITY, GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
112080, GAZİANTEP UNIVERSITY, GAZİANTEP ÜNİVERSİTESİ
260621, GEBZE TECHNICAL UNIVERSITY, GEBZE TEKNİK ÜNİVERSİTESİ
112836, GİRESUN UNIVERSITY, GİRESUN ÜNİVERSİTESİ
113023, GUMUSHANE UNIVERSITY, GÜMÜŞHANE ÜNİVERSİTESİ
113082, HACETTEPE UNIVERSITY, HACETTEPE ÜNİVERSİTESİ
113681, HAKKARI UNIVERSITY, HAKKARİ ÜNİVERSİTESİ
113699, HALIC UNIVERSITY, HALİÇ ÜNİVERSİTESİ
113746, HARRAN UNIVERSITY, HARRAN ÜNİVERSİTESİ
138586, HASAN KALYONCU UNIVERSITY, HASAN KALYONCU ÜNİVERSİTESİ
367208, HATAY MUSTAFA KEMAL UNIVERSITY, HATAY MUSTAFA KEMAL ÜNİVERSİTESİ
114218, HITIT UNIVERSITY, HİTİT ÜNİVERSİTESİ
114315, IĞDIR UNIVERSITY, IĞDIR ÜNİVERSİTESİ
339998, ISPARTA APPLIED SCIENCES UNIVERSITY, ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ
114385, ISIK UNIVERSITY, IŞIK ÜNİVERSİTESİ
274887, IBN HALDUN UNIVERSITY, İBN HALDUN ÜNİVERSİTESİ
105118, İHSAN DOĞRAMACI BİLKENT UNIVERSITY, İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ
114436, İNÖNÜ UNIVERSITY, İNÖNÜ ÜNİVERSİTESİ
274882, İSKENDERUN TECHNICAL UNIVERSITY, İSKENDERUN TEKNİK ÜNİVERSİTESİ
163900, ISTANBUL 29 MAYIS UNIVERSITY, İSTANBUL 29 MAYIS ÜNİVERSİTESİ
114773, ISTANBUL AREL UNIVERSITY, İSTANBUL AREL ÜNİVERSİTESİ
339995, ISTANBUL ATLAS UNIVERSITY, İSTANBUL ATLAS ÜNİVERSİTESİ
114827, ISTANBUL AYDIN ​​UNIVERSITY, İSTANBUL AYDIN ÜNİVERSİTESİ
448766, ISTANBUL BEYKENT UNIVERSITY, İSTANBUL BEYKENT ÜNİVERSİTESİ
114907, ISTANBUL BİLGİ UNIVERSITY, İSTANBUL BİLGİ ÜNİVERSİTESİ
241174, ISTANBUL ESENYURT UNIVERSITY, İSTANBUL ESENYURT ÜNİVERSİTESİ
391144, ISTANBUL GALATA UNIVERSITY, İSTANBUL GALATA ÜNİVERSİTESİ
315098, ISTANBUL GEDİK UNIVERSITY, İSTANBUL GEDİK ÜNİVERSİTESİ
130959, İSTANBUL GELİŞİM UNIVERSITY, İSTANBUL GELİŞİM ÜNİVERSİTESİ
302687, ISTANBUL KENT UNIVERSITY, İSTANBUL KENT ÜNİVERSİTESİ
115022, ISTANBUL CULTURAL UNIVERSITY, İSTANBUL KÜLTÜR ÜNİVERSİTESİ
173496, ISTANBUL MEDENİYET UNIVERSITY, İSTANBUL MEDENİYET ÜNİVERSİTESİ
163888, ISTANBUL MEDIPOL UNIVERSITY, İSTANBUL MEDİPOL ÜNİVERSİTESİ
447904, ISTANBUL NİŞANTAŞI UNIVERSITY, İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ
360777, ISTANBUL OKAN UNIVERSITY, İSTANBUL OKAN ÜNİVERSİTESİ
274886, ISTANBUL RUMELIA UNIVERSITY, İSTANBUL RUMELİ ÜNİVERSİTESİ
163898, ISTANBUL SABAHATTIN ZAIM UNIVERSITY, İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ
432690, ISTANBUL VOCATIONAL SCHOOL OF HEALTH AND SOCIAL SCIENCES, İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
410560, ISTANBUL HEALTH AND TECHNOLOGY UNIVERSITY, İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ
220121, İSTANBUL ŞİŞLİ VOCATIONAL SCHOOL, İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU
115069, ISTANBUL TECHNICAL UNIVERSITY, İSTANBUL TEKNİK ÜNİVERSİTESİ
115335, ISTANBUL COMMERCE UNIVERSITY, İSTANBUL TİCARET ÜNİVERSİTESİ
440213, ISTANBUL TOPKAPI UNIVERSITY, İSTANBUL TOPKAPI ÜNİVERSİTESİ
115373, ISTANBUL UNIVERSITY, İSTANBUL ÜNİVERSİTESİ
339984, ISTANBUL UNIVERSITY-CERRAHPAŞA, İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA
315415, ISTANBUL NEW YÜZYIL UNIVERSITY, İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ
274888, ISTINYE UNIVERSITY, İSTİNYE ÜNİVERSİTESİ
302686, İZMİR BAKIRÇAY UNIVERSITY, İZMİR BAKIRÇAY ÜNİVERSİTESİ
302685, IZMIR DEMOCRACY UNIVERSITY, İZMİR DEMOKRASİ ÜNİVERSİTESİ
116147, IZMIR UNIVERSITY OF ECONOMICS, İZMİR EKONOMİ ÜNİVERSİTESİ
173498, IZMIR KATIP CELEBI UNIVERSITY, İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ
334490, IZMIR CONCEPT VOCATIONAL SCHOOL, İZMİR KAVRAM MESLEK YÜKSEKOKULU
339996, IZMIR TINAZTEPE UNIVERSITY, İZMİR TINAZTEPE ÜNİVERSİTESİ
116207, IZMIR INSTITUTE OF HIGH TECHNOLOGY, İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ
116281, KADİR HAS UNIVERSITY, KADİR HAS ÜNİVERSİTESİ
116345, CAUCASUS UNIVERSITY, KAFKAS ÜNİVERSİTESİ
339994, KAHRAMANMARAŞ İSTİKLAL UNIVERSITY, KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ
116608, KAHRAMANMARAŞ SÜTÇÜ İMAM UNIVERSITY, KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ
325756, CAPPADOCIA UNIVERSITY, KAPADOKYA ÜNİVERSİTESİ
116950, KARABUK UNIVERSITY, KARABÜK ÜNİVERSİTESİ
117127, KARADENIZ TECHNICAL UNIVERSITY, KARADENİZ TEKNİK ÜNİVERSİTESİ
117553, KARAMANOĞLU MEHMETBEY UNIVERSITY, KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ
117673, KASTAMONU UNIVERSITY, KASTAMONU ÜNİVERSİTESİ
339993, KAYSERİ UNIVERSITY, KAYSERİ ÜNİVERSİTESİ
117803, KIRIKKALE UNIVERSITY, KIRIKKALE ÜNİVERSİTESİ
118122, KIRKLARELI UNIVERSITY, KIRKLARELİ ÜNİVERSİTESİ
354265, KIRŞEHİR AHI EVRAN UNIVERSITY, KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ
118186, KİLİS 7 ARALIK UNIVERSITY, KİLİS 7 ARALIK ÜNİVERSİTESİ
411763, KOCAELİ HEALTH AND TECHNOLOGY UNIVERSITY, KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ
118239, UNIVERSITY OF KOCAELI, KOCAELİ ÜNİVERSİTESİ
118853, KOÇ UNIVERSITY, KOÇ ÜNİVERSİTESİ
241176, KONYA FOOD AND AGRICULTURE UNIVERSITY, KONYA GIDA VE TARIM ÜNİVERSİTESİ
339979, KONYA TECHNICAL UNIVERSITY, KONYA TEKNİK ÜNİVERSİTESİ
166433, KTO KARATAY UNIVERSITY, KTO KARATAY ÜNİVERSİTESİ
351149, KÜTAHYA DUMLUPINAR UNIVERSITY, KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ
339982, KÜTAHYA HEALTH SCIENCES UNIVERSITY, KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
332474, LOKMAN HEKIM UNIVERSITY, LOKMAN HEKİM ÜNİVERSİTESİ
339983, MALATYA TURGUT ÖZAL UNIVERSITY, MALATYA TURGUT ÖZAL ÜNİVERSİTESİ
118883, MALTEPE UNIVERSITY, MALTEPE ÜNİVERSİTESİ
315839, MANİSA CELÂL BAYAR UNIVERSITY, MANİSA CELÂL BAYAR ÜNİVERSİTESİ
118994, MARDIN ARTUKLU UNIVERSITY, MARDİN ARTUKLU ÜNİVERSİTESİ
119094, MARMARA UNIVERSITY, MARMARA ÜNİVERSİTESİ
215913, MEF UNIVERSITY, MEF ÜNİVERSİTESİ
119917, MERSIN UNIVERSITY, MERSİN ÜNİVERSİTESİ
120301, MİMAR SINAN FINE ARTS UNIVERSITY, MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ
442563, MUDANYA UNIVERSITY, MUDANYA ÜNİVERSİTESİ
120444, MUĞLA SITKI KOÇMAN UNIVERSITY, MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ
307919, MUNZUR UNIVERSITY, MUNZUR ÜNİVERSİTESİ
121164, MUŞ ALPARSLAN UNIVERSITY, MUŞ ALPARSLAN ÜNİVERSİTESİ
173500, NECMETTİN ERBAKAN UNIVERSITY, NECMETTİN ERBAKAN ÜNİVERSİTESİ
246224, NEVŞEHİR HACI BEKTAŞ VELİ UNIVERSITY, NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ
306556, NIGDE ÖMER HALİSDEMİR UNIVERSITY, NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ
163891, NUH NACI YAZGAN UNIVERSITY, NUH NACİ YAZGAN ÜNİVERSİTESİ
121946, ONDOKUZ MAYIS UNIVERSITY, ONDOKUZ MAYIS ÜNİVERSİTESİ
122395, ORDU UNIVERSITY, ORDU ÜNİVERSİTESİ
122571, MIDDLE EAST TECHNICAL UNIVERSITY, ORTA DOĞU TEKNİK ÜNİVERSİTESİ
122735, OSMANİYE KORKUT ATA UNIVERSITY, OSMANİYE KORKUT ATA ÜNİVERSİTESİ
324992, OSTİM TECHNICAL UNIVERSITY, OSTİM TEKNİK ÜNİVERSİTESİ
122827, OZYEGIN UNIVERSITY, ÖZYEĞİN ÜNİVERSİTESİ
122831, PAMUKKALE UNIVERSITY, PAMUKKALE ÜNİVERSİTESİ
136233, PİRİ REİS UNIVERSITY, PİRİ REİS ÜNİVERSİTESİ
123221, RECEP TAYYIP ERDOĞAN UNIVERSITY, RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ
123400, SABANCI UNIVERSITY, SABANCI ÜNİVERSİTESİ
270121, HEALTH SCIENCES UNIVERSITY, SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
339988, SAKARYA APPLIED SCIENCES UNIVERSITY, SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ
123409, SAKARYA UNIVERSITY, SAKARYA ÜNİVERSİTESİ
339989, SAMSUN UNIVERSITY, SAMSUN ÜNİVERSİTESİ
241177, SANKO UNIVERSITY, SANKO ÜNİVERSİTESİ
123902, SELCUK UNIVERSITY, SELÇUK ÜNİVERSİTESİ
124703, SİİRT UNIVERSITY, SİİRT ÜNİVERSİTESİ
124805, SINOP UNIVERSITY, SİNOP ÜNİVERSİTESİ
339990, SİVAS SCIENCE AND TECHNOLOGY UNIVERSITY, SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
344737, SİVAS REPUBLICAN UNIVERSITY, SİVAS CUMHURİYET ÜNİVERSİTESİ
124902, SÜLEYMAN DEMİREL UNIVERSITY, SÜLEYMAN DEMİREL ÜNİVERSİTESİ
125536, ŞIRNAK UNIVERSITY, ŞIRNAK ÜNİVERSİTESİ
339991, TARSUS UNIVERSITY, TARSUS ÜNİVERSİTESİ
163892, TED UNIVERSITY, TED ÜNİVERSİTESİ
356278, TEKİRDAĞ NAMIK KEMAL UNIVERSITY, TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ
125552, TOBB ECONOMICS AND TECHNOLOGY UNIVERSITY, TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ
367245, TOKAT GAZİOSMANPAŞA UNIVERSITY, TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ
163889, TOROS UNIVERSITY, TOROS ÜNİVERSİTESİ
339992, TRABZON UNIVERSITY, TRABZON ÜNİVERSİTESİ
125577, UNIVERSITY OF TRAKYA, TRAKYA ÜNİVERSİTESİ
203267, TURKISH AIR CORPORATION UNIVERSITY, TÜRK HAVA KURUMU ÜNİVERSİTESİ
201784, TURKISH-GERMAN UNIVERSITY, TÜRK-ALMAN ÜNİVERSİTESİ
125968, UFUK UNIVERSITY, UFUK ÜNİVERSİTESİ
126537, UŞAK UNIVERSITY, UŞAK ÜNİVERSİTESİ
206795, USKUDAR UNIVERSITY, ÜSKÜDAR ÜNİVERSİTESİ
337414, VAN YÜZÜNCÜ YIL UNIVERSITY, VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ
126742, YALOVA UNIVERSITY, YALOVA ÜNİVERSİTESİ
126773, YAŞAR UNIVERSITY, YAŞAR ÜNİVERSİTESİ
126818, YEDİTEPE UNIVERSITY, YEDİTEPE ÜNİVERSİTESİ
126982, YILDIZ TECHNICAL UNIVERSITY, YILDIZ TEKNİK ÜNİVERSİTESİ
359730, YOZGAT BOZOK UNIVERSITY, YOZGAT BOZOK ÜNİVERSİTESİ
206792, HIGH SPECIALIZED UNIVERSITY, YÜKSEK İHTİSAS ÜNİVERSİTESİ
365890, ZONGULDAK BÜLENT ECEVİT UNIVERSITY, ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ
