rank, university_name, name_tr
3065, Bezmialem Vakif University / Bezmiâlem Vakıf Üniversitesi, Bezmialem Vakıf Üniversitesi / Bezmiâlem Vakıf Üniversitesi
3082, Çankiri Karatekin University, Çankırı Karatekin Üniversitesi
3193, Nişantaşı Üniversitesi, Nişantaşı Üniversitesi
3215, Iğdır University, Iğdır Üniversitesi
3247, Galatasaray University, Galatasaray Üniversitesi
3263, Abdullah Gül University Kayseri, Abdullah Gül Üniversitesi Kayseri
3282, Istanbul Kültür University, İstanbul Kültür Üniversitesi
3294, Düzce University, Düzce Üniversitesi
3294, Okan University / İstanbul Okan Üniversitesi, Okan Üniversitesi / İstanbul Okan Üniversitesi
3427, Piri Reis University, Piri Reis Üniversitesi
3434, Agri Mountain University / Ağrı İbrahim Çeçen University, Ağrı Dağ Üniversitesi / Ağrı İbrahim Çeçen Üniversitesi
3434, Gümüşhane University / Gümüşhane Üniversitesi, Gümüşhane Üniversitesi / Gümüşhane Üniversitesi
3434, Istanbul Sabahattin Zaim University, İstanbul Sabahattin Zaim Üniversitesi
3442, Kirklareli University, Kırklareli Üniversitesi
3488, Batman University, Batman Üniversitesi
3506, Osmaniye Korkut Ata University, Osmaniye Korkut Ata Üniversitesi
3540, Işık University, Işık Üniversitesi
3612, Şırnak University, Şırnak Üniversitesi
3617, Muş Alparslan University, Muş Alparslan Üniversitesi
3622, Yalova University, Yalova Üniversitesi
3650, TED University, TED Üniversitesi
3660, Doğuş University, Doğuş Üniversitesi
3670, Erzurum Teknik Üniversitesi, Erzurum Teknik Üniversitesi
3693, Erzincan Binali Yıldırım Üniversitesi, Erzincan Binali Yıldırım Üniversitesi
3701, KTO Karatay University, KTO Karatay Üniversitesi
3707, Artvin Çoruh University, Artvin Çoruh Üniversitesi
3741, Çağ University, Çağ Üniversitesi
3749, Bayburt University, Bayburt Üniversitesi
3751, Manisa Celal Bayar University, Manisa Celal Bayar Üniversitesi
4159, Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi / Adana Alparslan Türkeş Science and Technology University, Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi / Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi
4245, Bilecik Şeyh Edebali Üniversitesi, Bilecik Şeyh Edebali Üniversitesi
4287, Iskenderun Technical University / İskenderun Teknik Üniversitesi, İskenderun Teknik Üniversitesi / İskenderun Teknik Üniversitesi
4302, Bitlis Eren University / Bitlis Eren Üniversitesi, Bitlis Eren Üniversitesi / Bitlis Eren Üniversitesi
4406, İstanbul MEF Üniversitesi, İstanbul MEF Üniversitesi
4502, Afyonkarahisar Sağlik Bilimleri Üniversitesi / Afyonkarahisar Health Sciences University, Afyonkarahisar Sağlık Bilimleri Üniversitesi / Afyonkarahisar Sağlık Bilimleri Üniversitesi
4538, Amasya University, Amasya Üniversitesi
4676, Maltepe University, Maltepe Üniversitesi
4748, Ufuk University, Ufuk Üniversitesi
4803, Kütahya Sağlik Bilimleri Üniversitesi, Kütahya Sağlık Bilimleri Üniversitesi
5261, Istanbul Arel University, İstanbul Arel Üniversitesi
5419, Ankara Hacı Bayram Veli University / Ankara Hacı Bayram Veli Üniversitesi, Ankara Hacı Bayram Veli Üniversitesi / Ankara Hacı Bayram Veli Üniversitesi
5893, Demiroğlu Bilim Üniversitesi, Demiroğlu Bilim Üniversitesi
6249, İzmir Democracy University / İzmir Demokrasi Üniversitesi, İzmir Demokrasi Üniversitesi / İzmir Demokrasi Üniversitesi
6620, Istanbul Gedik University, İstanbul Gedik Üniversitesi
6623, Haliç University, Haliç Üniversitesi
6640, İstinye Üniversitesi / Istinye University, İstinye Üniversitesi / İstinye Üniversitesi
6666, Istanbul Atlas Üniversitesi, İstanbul Atlas Üniversitesi
6757, Altınbaş Üniversitesi, Altınbaş Üniversitesi
6790, Eskişehir Technical University / Eskişehir Teknik Üniversitesi, Eskisehir Teknik Üniversitesi / Eskisehir Teknik Üniversitesi
6794, Fatih Sultan Mehmet University / Fatih Sultan Mehmet Vakıf Üniversitesi, Fatih Sultan Mehmet Üniversitesi / Fatih Sultan Mehmet Vakıf Üniversitesi
6870, Mardin Artuklu University, Mardin Artuklu Üniversitesi
6913, Bandırma Onyedi Eylül Üniversitesi, Bandırma Onyedi Eylül Üniversitesi
6921, İbn Haldun Üniversitesi, İbn Haldun Üniversitesi
6937, Sakarya Uygulamali Bilimler Üniversitesi, Sakarya Uygulamalı Bilimler Üniversitesi
6971, Turkey Police Academy / Polis Akademisi Başkanlığı, Türkiye Polis Akademisi / Polis Akademisi Başkanlığı
7017, Ankara Sosyal Bilimler University, Ankara Sosyal Bilimler Üniversitesi
7053, Turkish-German University / Türk-Alman Üniversitesi, Türk-Alman Üniversitesi / Türk-Alman Üniversitesi
7099, Milli Savunma Üniversitesi / National Defense University, Milli Savunma Üniversitesi / Milli Savunma Üniversitesi
7133, Antalya Science University / Antalya Bilim Üniversitesi, Antalya Bilim Üniversitesi / Antalya Bilim Üniversitesi
7253, Konya Technical University / Konya Teknik Üniversitesi, Konya Teknik Üniversitesi / Konya Teknik Üniversitesi
7287, Kilis 7 Aralık University / December 7 University of Kilis, Kilis 7 Aralık Üniversitesi / 7 Aralık Kilis Üniversitesi
7467, Boğaziçi University, Boğaziçi Üniversitesi
7477, Cappadocia University / Kapadokya Üniversitesi, Kapadokya Üniversitesi / Kapadokya Üniversitesi
7713, Ardahan University / Ardahan Üniversitesi, Ardahan Üniversitesi / Ardahan Üniversitesi
7794, Samsun Üniversitesi, Samsun Üniversitesi
7935, Yeni Yüzyıl University / T C İstanbul Yeni Yüzyıl Üniversitesi, Yeni Yüzyıl Üniversitesi / T C İstanbul Yeni Yüzyıl Üniversitesi
8118, Malatya Turgut Özal University / Malatya Turgut Özal Üniversitesi, Malatya Turgut Özal Üniversitesi / Malatya Turgut Özal Üniversitesi
8188, Beykoz University, Beykoz Üniversitesi
8516, Lokman Hekim University, Lokman Hekim Üniversitesi
8544, Trabzon Üniversitesi, Trabzon Üniversitesi
8666, Toros University, Toros Üniversitesi
8766, Ankara Medipol Üniversitesi, Ankara Medipol Üniversitesi
8818, Istanbul 29 Mayıs University / İstanbul 29 Mayıs Üniversitesi, İstanbul 29 Mayıs Üniversitesi / İstanbul 29 Mayıs Üniversitesi
8936, Tarsus Üniversitesi, Tarsus Üniversitesi
8963, Ostim Technical University / Ostim Teknik Üniversitesi, Ostim Teknik Üniversitesi / Ostim Teknik Üniversitesi
9156, Istanbul Esenyurt University, İstanbul Esenyurt Üniversitesi
9187, Fenerbahçe Üniversitesi, F.Bahçe Üniversitesi
9231, Hakkari University / Hakkari Üniversitesi, Hakkari Üniversitesi / Hakkari Üniversitesi
9265, Konya Food and Agricultural University / Konya Gıda ve Tarım Üniversitesi, Konya Gıda ve Tarım Üniversitesi / Konya Gıda ve Tarım Üniversitesi
9271, Nuh Naci Yazgan University, Nuh Naci Yazgan Üniversitesi
9431, İstanbul Topkapı Üniversitesi, İstanbul Topkapı Üniversitesi
9581, Kayseri Üniversitesi, Kayseri Üniversitesi
9626, İstanbul Kent Üniversitesi, İstanbul Kent Üniversitesi
9977, Sanko Üniversitesi, Sanko Üniversitesi
10098, Istanbul Rumeli University / İstanbul Rumeli Üniversitesi, İstanbul Rumeli Üniversitesi / İstanbul Rumeli Üniversitesi
10713, Ankara Fine Arts University / Ankara Müzik ve Güzel Sanatlar Üniversitesi, Ankara Güzel Sanatlar Üniversitesi / Ankara Müzik ve Güzel Sanatlar Üniversitesi
10725, Avrasya Üniversitesi, Avrasya Üniversitesi
11033, Jandarma ve Sahil Güvenlik Akademisi / Gendarmerie and Coast Guard Academy, Jandarma ve Sahil Güvenlik Akademisi / Jandarma ve Sahil Güvenlik Akademisi
11246, Turkey Air Technical School / Hava Teknik Okullar Komutanlığı, Türkiye Hava Teknik Okulu / Hava Teknik Okullar Komutanlığı
11924, Izmir Tinaztepe Üniversitesi, İzmir Tınaztepe Üniversitesi
11989, Alanya Alaaddin Keykubat Üniversitesi, Alanya Alaaddin Keykubat Üniversitesi
12023, Sivas Bilim Ve Teknoloji Üniversitesi, Sivas Bilim Ve Teknoloji Üniversitesi
12082, Isparta Uygulamali Bilimler Üniversitesi, Isparta Uygulamalı Bilimler Üniversitesi
12686, (1) İzmir Kavram Meslek Yüksekokulu, (1) İzmir Kavram Meslek Yüksekokulu
12852, University of Turkish Aeronautical Association / Türk Hava Kurumu Üniversitesi, Türk Hava Kurumu Üniversitesi / Türk Hava Kurumu Üniversitesi
12952, Gaziantep Islam Bilim Ve Teknoloji Üniversitesi, Gaziantep İslam Bilim Ve Teknoloji Üniversitesi
12984, Kahramanmaraş Istiklal Üniversitesi, Kahramanmaraş İstiklal Üniversitesi
14326, Munzur University Tunceli, Munzur Üniversitesi Tunceli
14525, İstanbul Şişli Meslek Yüksekokulu, İstanbul Şişli Meslek Yüksekokulu
14997, Ataşehir Adıgüzel Meslek Yüksekokulu, Ataşehir Adıgüzel Meslek Yüksekokulu
15419, Arkin Universityn of Creative Arts ARUCAD/ Arkın Yaratıcı Sanatlar ve Tasarım Üniversitesi, Arkın Yaratıcı Sanatlar Üniversitesi ARUCAD/ Arkın Yaratıcı Sanatlar ve Tasarım Üniversitesi
15691, Bakırçay Üniversitesi, Bakırçay Üniversitesi
15868, Kocaeli Health and Technology University, Kocaeli Sağlık ve Teknoloji Üniversitesi
16796, Yüksek Ihtisas Üniversitesi, Yüksek İhtisas Üniversitesi
18538, Alanya University, Alanya Üniversitesi
19148, Rauf Denktas University, Rauf Denktaş Üniversitesi
19997, İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksek Okulu, İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksek Okulu
21071, Antalya Belek Üniversitesi, Antalya Belek Üniversitesi
22870, Atatürk Teachers Academy / Atatürk Öğretmen Akademisi, Atatürk Öğretmen Akademisi / Atatürk Öğretmen Akademisi
28140, Türk Japon Bilim ve Teknoloji Üniversitesi / Turkish Japanese Science and Technology University, Türk Japon Bilim ve Teknoloji Üniversitesi / Türk Japon Bilim ve Teknoloji Üniversitesi
